1boy,"1个男人,1男"
ainy,"艾尼"
ainz_ooal_gown,"安兹ooal礼服"
aioi_u,"爱爱你"
aioi_yuuko,"相井优子"
aipom,"艾波姆"
air,"空气"
air_bubble,"气泡"
air_conditioner,"空调"
air_defense_princess,"防空公主"
air_gear,"空气齿轮"
air_groove_(umamusume),"气槽(umamusume)"
air_jordan,"约旦航空"
air_jordan_1,"约旦航空1"
air_mattress,"气垫"
airandou,"爱兰豆"
airani_iofifteen,"艾拉尼十五岁"
airborne,"空降"
airbrush,"喷枪,喷漆"
aircraft,"飞机"
aircraft_carrier,"航空母舰"
aircraft_carrier_princess,"航空母舰公主"
aircraft_carrier_water_oni,"航空母舰水鬼"
aircraft_catapult,"飞机弹射器"
airfield,"机场"
airfield_princess,"机场公主"
airi_(queen's_blade),"airi(女王之刃)"
airi_(the_infernal_temptress),"airi(地狱般的诱惑者)"
airplane_interior,"飞机内部"
airplane_wing,"机翼"
airport,"飞机场"
airship,"飞艇"
airsoft,"气枪"
aisaka_sayo,"相坂小夜"
aisaka_taiga,"相坂大河"
aisaki_emiru,"相崎emiru"
aisha_clanclan,"艾莎氏族"
aisha_landar,"艾莎兰达"
aislinn_wishart,"艾斯林威哈特"
aisutabetao,"艾苏塔贝托"
aito,"爱藤"
aitsugawa_rui,"爱津川瑞"
aiuti,"奥提"
aiz_wallenstein,"艾兹华伦斯坦"
aizawa_chizuru,"相泽千鹤"
aizawa_eiko,"相泽英子"
aizawa_hikaru,"相泽光"
aizawa_kazuha,"相泽和叶"
aizawa_sakuya,"相泽咲也"
aizawa_yuuichi,"相泽悠一"
aizen_(syoshiyuki),"蓝染(syoshiyuki)"
aizen_kunitoshi,"蓝染国志"
ajax_(azur_lane),"阿贾克斯(碧蓝航线)"
ajimita,"阿吉米塔"
ajino_(sakanahen),"味野(sakanahen)"
ajiriko,"网尻子"
ajiro_shinpei,"网次郎新平"
ajishio,"味盐"
ajitarou_(setsu),"味太郎(setsu)"
ajna_(indivisible),"ajna(不可分割)"
aka6,"又名6"
aka_kitsune,"又名狐狸精"
aka_ringo,"又名林戈"
aka_tawashi,"又名tawashi"
aka_ume,"又名梅"
akabane_(zebrasmise),"赤羽(斑马)"
akabane_hibame,"赤羽hibame"
akabane_youko,"赤羽洋子"
akabashi_yuusuke,"赤桥优介"
akaboshi_koume,"赤星小梅"
akadako,"赤田子"
akademeia_uniform,"学院制服"
akaga_hirotaka,"赤贺广隆"
akagashi_hagane,"赤城羽根"
akagi-chan_(azur_lane),"赤城酱(碧蓝航线)"
akagi:_yami_ni_oritatta_tensai,"赤城：yaminioritattatensai"
akagi_(azur_lane),"赤城(碧蓝航线)"
akagi_(fmttps),"赤城(fmttps)"
akagi_(kancolle),"赤城(舰娘)"
akagi_(paradise_amaryllis)_(azur_lane),"akagi(天堂孤挺花)(azurlane)"
akagi_(warship_girls_r),"赤城(军舰少女r)"
akagi_asahito,"赤城旭人"
akagi_kai_ni_(kancolle),"akagikaini(舰娘)"
akagi_kurage,"赤城仓吉"
akagi_miria,"赤城米莉亚"
akagi_rio,"赤城里约"
akagi_ritsuko,"赤城律子"
akagi_shigeru,"赤城茂"
akagi_shun,"赤城顺"
akagi_towa,"赤城东和"
akahi242,"赤日242"
akahige,"赤肥"
akahito,"明人"
akai_kitsune,"赤井狐狸"
akai_ronii,"赤井ronii"
akai_sashimi,"赤井生鱼片"
akai_shuuichi,"赤井秀一"
akaiha_(akaihasugk),"赤羽(akaihasugk)"
akairiot,"阿凯里奥特"
akakage_red,"赤影红"
akakura,"赤仓"
akali,"阿卡丽"
akali_(legacy),"阿卡丽(旧版)"
akamaru,"赤丸"
akamatsu_kaede,"赤松枫"
akamatsu_ken,"赤松健"
akame_ga_kill!,"akamega杀！"
akamoku,"赤木"
akanagi_youto,"赤薙洋人"
akanasu,"赤须"
akanbe,"阿寒边"
akane_(blue_archive),"茜(蓝色档案)"
akane_(bunny)_(blue_archive),"茜(兔子)(蓝色档案)"
akane_souichi,"茜总一"
akane_yuki,"茜茜"
akaneko_(redakanekocat),"茜子(redakanekocat)"
akanesanzou,"茜三藏"
akaneya,"茜屋"
akano_murasaki,"赤野村崎"
akari_(pokemon),"akari(口袋妖怪)"
akari_(princess_connect!),"akari(公主连接！)"
akasaai,"阿卡赛"
akasaka_mamoru,"赤坂守"
akasaka_yuzu,"赤坂柚子"
akasata,"赤笠"
akashi_(azur_lane),"明石(碧蓝航线)"
akashi_(kancolle),"明石(舰娘)"
akashi_(live_a_hero),"明石(活出英雄)"
akashi_kaoru,"明石薰"
akashi_seijuurou,"明石征十郎"
akashi_yuuna,"明石优奈"
akashio_(loli_ace),"akashio(萝莉王牌)"
akashiya_moka,"明石屋摩卡"
akasia,"阿卡西亚"
akata_itsuki,"赤田五月"
akatoro_(nightlord),"akatoro(夜王)"
akatsuki_(kancolle),"晓(舰娘)"
akatsuki_(log_horizon),"晓(原木地平线)"
akatsuki_akane,"晓茜"
akatsuki_blitzkampf,"晓闪电战"
akatsuki_hijiri,"晓希尻"
akatsuki_hiro,"晓宏"
akatsuki_ikki,"晓一辉"
akatsuki_kai_ni_(kancolle),"akatsukikaini(舰娘)"
akatsuki_kirika,"晓桐花"
akatsuki_miho,"晓美穗"
akatsuki_no_goei,"晓的合影"
akatsuki_no_yona,"晓之约娜"
akatsuki_uni,"晓uni"
akatsuki_uniform,"晓制服"
akaza,"赤座"
akaza_akane,"赤座茜"
akaza_akari,"赤座赤里"
akazaki_yasuma,"赤崎安真"
akazawa_izumi,"赤泽泉"
akazawa_red,"赤泽红"
akazukin_chacha,"赤津茶茶"
akazutsumi_momoko,"赤海桃子"
akchu,"阿克楚"
akebi_komichi,"明美小道"
akebono_(kancolle),"曙光(舰娘)"
akebono_kai_ni_(kancolle),"akebonokaini(舰娘)"
akechi_gorou,"明智五郎"
akechi_kokoro,"明知心"
akechi_shizuku,"明智雫"
akehi_yuki,"明日雪"
akemi_homura,"明美小焰"
akemi_homura_(cosplay),"明美homura(角色扮演)"
akemiho_tabi_nikki,"明穗布衣尼基"
aken,"阿肯"
akeome,"阿克美"
akesaka_iku,"赤坂iku"
aketa_mikoto,"明太美琴"
akeyama_kitsune,"明山狐狸"
akg,"公斤"
aki_(akikaze_asparagus),"aki(秋风芦笋)"
aki_(girls_und_panzer),"aki(少女与装甲)"
aki_eda,"枝田明"
aki_minoriko,"秋小子"
aki_poi,"秋波伊"
aki_rosenthal,"阿基罗森塔尔"
aki_shizuha,"静叶秋"
akiba_monaka,"秋叶真中"
akigumo_(kancolle),"秋云(舰娘)"
akigumo_kai_ni_(kancolle),"秋云改你(舰娘)"
akiha_(attract),"秋叶(吸引)"
akiha_rumiho,"秋叶留美穗"
akihabara_(tokyo),"秋叶原(东京)"
akihazama,"秋叶间"
akihime_sumomo,"秋姬相扑"
akihiro_altland,"奥特兰明弘"
akihiyo,"秋日"
akikawa_yayoi_(umamusume),"秋川弥生(umamusume)"
akikaze_tsumuji,"秋风嬛嬛"
akikazu_mizuno,"秋和美津浓"
akimaki_yuu,"秋卷悠"
akimbo,"双手叉腰"
akimoto_dai,"秋元代"
akimoto_komachi,"秋元小町"
akina_tsukako,"秋名冢子"
akinaie,"秋奈"
akinashi_yuu,"明梨悠"
akino_(princess_connect!),"秋野(公主连接！)"
akino_coto,"秋野古藤"
akino_ell,"秋野埃尔"
akino_hamo,"秋野hamo"
akino_komichi,"秋野小道"
akino_shin,"秋野心"
akino_shuu,"秋野秀"
akino_sora,"秋野空"
akino_subaru,"秋野昴"
akino_takehiko,"秋野武彦"
akira,"晃"
akira_(coffee_curry),"akira(咖啡咖喱)"
akira_(kadokawa),"晃(角川)"
akira_(viper),"晃(毒蛇)"
akira_ferrari,"晃法拉利"
akira_miku_ver,"晃未来ver"
akira_shiun,"晃志云"
akisaka_yamoka,"秋坂山冈"
akisha,"秋莎"
akishima_kei,"秋岛圭"
akishimo_(kancolle),"秋下(舰娘)"
akisoba,"秋荞麦面"
akisome_hatsuka,"初夏秋染"
akisora,"秋空"
akita_hika,"秋田彦"
akita_neru,"秋田neru"
akita_toushirou,"秋田当士郎"
akitaka_akita,"akitaka秋田"
akitetsu,"秋铁"
akitokage,"秋影"
akitsu_maru_(kancolle),"秋津丸(舰娘)"
akitsu_maru_kai_(kancolle),"秋津丸kai(舰娘)"
akitsuchi_shien,"秋土味"
akitsuki_(oenothera),"秋月(月见草)"
akitsuki_itsuki,"秋月月"
akitsuki_karasu,"秋月乌"
akitsushima_(kancolle),"秋津岛(舰娘)"
akiyama_hayato,"秋山隼人"
akiyama_mio,"秋山澪"
akiyama_mizuki,"秋山水树"
akiyama_rinko,"秋山临子"
akiyama_yoshiko,"秋山芳子"
akiyama_yukari,"秋山由香里"
akiyasu,"秋安"
akiyoshi_(tama-pete),"秋吉(tama-pete)"
akizone,"秋宗"
akizora_momiji,"红叶秋空"
akizuki_(kancolle),"秋月(舰娘)"
akizuki_ritchan,"秋月立灿"
akizuki_ritsuko,"秋月律子"
akizuki_ryo,"秋月凉"
akizuki_shigure,"秋月时雨"
akke,"阿克"
akkijin,"阿奇金"
ako_(blue_archive),"ako(蓝色档案)"
akou_roushi,"阿口肉食"
akudama_drive,"akudama驱动器"
akujiki59,"隼木59"
akuma,"隈研吾"
akuma_(street_fighter),"akuma(街头霸王)"
akuma_no_riddle,"恶鬼之谜"
akuno_hideo,"久野秀夫"
akusema,"青色"
akuta_hinako,"久田雏子"
al-qatt_al-asiri,"阿拉伯壁画"
alabama_(azur_lane),"阿拉巴马州(碧蓝航线)"
aladdin_(disney),"阿拉丁(迪士尼)"
aladdin_(magi),"阿拉丁(魔法师)"
alakazam,"阿拉卡扎姆"
alakoala,"阿拉考拉"
alarm_clock,"闹钟"
albacore_(azur_lane),"长鳍金枪鱼(碧蓝航线)"
albedo_(genshin_impact),"阿贝多(原神)"
albedo_(overlord),"反照率(霸主)"
alber,"阿尔伯"
albert_wesker,"阿尔伯特·威斯克"
albino,"白化病"
album_cover,"专辑封面"
album_cover_redraw,"专辑封面重绘"
alchemaniac,"炼金术士"
alchemist_(girls'_frontline),"炼金术士(少女前线)"
alchemist_(ragnarok_online),"炼金术士(仙境传说在线)"
alchemy,"炼金术"
alchemy_stars,"炼金星"
alchera,"阿尔切拉"
alcina_dimitrescu,"阿尔西娜·迪米特雷斯库"
alcohol,"酒精"
alcremie,"阿尔克雷米"
alcremie_(strawberry_sweet),"alcremie(草莓甜味)"
alcremie_(vanilla_cream),"alcremie(香草奶油)"
aldehyde,"醛"
alder_(pokemon),"桤木(口袋妖怪)"
aldra_(queen's_blade),"阿尔德拉(女王之刃)"
ale_(ale_halexxx),"麦酒(alehalexxx)"
alecto_0,"艾克托0"
aleksandra_i._pokryshkin,"亚历山德拉岛波克里什金"
alessandra_susu,"亚历山德拉苏苏"
alex_(alexandoria),"亚历克斯(亚历山大)"
alex_(minecraft),"亚历克斯(我的世界)"
alex_(street_fighter),"亚历克斯(街头霸王)"
alex_ahad,"亚历克斯阿哈德"
alexander_(fate),"亚历山大(fate)"
alexander_dinh,"亚历山大·丁"
alexi_(tits!),"亚历克西(山雀！)"
alexmaster,"亚历克斯马斯特"
alfonse_(fire_emblem),"阿方斯(火徽)"
algerie_(azur_lane),"阿尔及利亚(碧蓝航线)"
algerie_(white_sand_paradise)_(azur_lane),"阿尔及利亚(白沙天堂)(碧蓝航线)"
ali_baba_saluja,"阿里巴巴萨卢加"
alia's_carnival!,"艾莉亚的狂欢节！"
alia_(mega_man),"其他(超级男人)"
aliasing,"混叠"
alice360,"爱丽丝360"
alice:_madness_returns,"爱丽丝：疯狂回归"
alice_(alice_in_wonderland),"爱丽丝(爱丽丝梦游仙境)"
alice_(alice_in_wonderland)_(cosplay),"爱丽丝(爱丽丝梦游仙境)(角色扮演)"
alice_(megami_tensei),"爱丽丝(megami紧张)"
alice_(pandora_hearts),"爱丽丝(潘多拉之心)"
alice_(queen's_gate),"爱丽丝(女王之门)"
alice_(sinoalice),"爱丽丝(sinoalice)"
alice_(tales),"爱丽丝(故事)"
alice_carroll,"爱丽丝卡罗尔"
alice_cartelet,"爱丽丝卡特尔"
alice_gear_aegis,"爱丽丝齿轮宙斯盾"
alice_girls_shiny_heart,"爱丽丝女孩闪亮的心"
alice_in_wonderland,"爱丽丝梦游仙境"
alice_margatroid,"爱丽丝margatroid"
alice_zuberg,"爱丽丝·祖伯格"
aliceblue,"爱丽丝蓝"
alicia_(granblue_fantasy),"艾丽西亚(碧蓝幻想)"
alicia_florence,"艾丽西亚佛罗伦萨"
alicia_melchiott,"艾丽西娅·梅尔奇奥特"
alicia_renato_(yashiro_sousaku),"艾丽西亚·雷纳托(yashirosousaku)"
alicia_testarossa,"艾丽西亚塔罗萨"
alien,"外星人"
alien1452,"外星人1452"
alien_(movie),"外星人(电影)"
alina_(arknights),"阿丽娜(方舟之夜)"
alina_(girls_und_panzer),"alina(少女与装甲)"
alina_gray,"阿丽娜灰色"
alios_arvin,"阿利奥斯·阿尔文"
alisa_(girls_und_panzer),"艾丽莎(少女与装甲)"
alisa_boskonovich,"艾丽莎·博斯科诺维奇"
alisa_ilinichina_amiella,"艾丽莎ilinichinaamiella"
alisa_reinford,"艾丽莎·莱因福德"
alisa_southerncross,"艾丽莎南十字星"
alisaie_leveilleur,"艾丽莎·莱维耶尔"
alisha_diphda,"艾丽莎·迪夫达"
alison_(alison_airlines),"艾莉森(艾莉森航空公司)"
alita,"阿丽塔"
aliza_(granblue_fantasy),"艾丽莎(碧蓝幻想)"
all-fours,"四肢趴地"
all-out_attack,"全力进攻"
all_fours,"四肢着地"
all_might,"尽一切可能"
all_the_way_through,"一路走来"
allelujah_haptism,"哈利路亚haptism"
allen_(makaroll),"艾伦(makaroll)"
allen_avadonia,"艾伦阿瓦多尼亚"
allen_walker,"艾伦沃克"
allenby_beardsley,"艾伦比比尔兹利"
allenes,"丙二烯"
alley,"胡同"
alleyne_(queen's_blade),"alleyne(女王之刃)"
alligator,"鳄鱼"
allister_(pokemon),"阿利斯特(口袋妖怪)"
